id,provinceId,name,createdAt,updatedAt
1105,11,Kabupaten Aceh Barat,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1112,11,Kabupaten Aceh Barat Daya,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1106,11,Kabupaten Aceh Besar,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1114,11,Kabupaten Aceh Jaya,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1101,11,Kabupaten Aceh Selatan,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1110,11,Kabupaten Aceh Singkil,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1116,11,Kabupaten Aceh Tamiang,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1104,11,Kabupaten Aceh Tengah,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1102,11,Kabupaten Aceh Tenggara,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1103,11,Kabupaten Aceh Timur,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1108,11,Kabupaten Aceh Utara,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1117,11,Kabupaten Bener Meriah,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1111,11,Kabupaten Bireuen,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1113,11,Kabupaten Gayo Lues,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1115,11,Kabupaten Nagan Raya,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1107,11,Kabupaten Pidie,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1118,11,Kabupaten Pidie Jaya,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1109,11,Kabupaten Simeulue,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1171,11,Kota Banda Aceh,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1174,11,Kota Langsa,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1173,11,Kota Lhokseumawe,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
1172,11,Kota Sabang,2026-01-12 10:39:40.210031,2026-01-12 10:39:40.210031
