id,name,createdAt,updatedAt
11,Aceh,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
51,Bali,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
36,Banten,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
17,Bengkulu,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
34,Daerah Istimewa Yogyakarta,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
31,DKI Jakarta,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
75,Gorontalo,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
15,Jambi,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
32,Jawa Barat,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
33,Jawa Tengah,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
35,Jawa Timur,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
61,Kalimantan Barat,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
63,Kalimantan Selatan,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
62,Kalimantan Tengah,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
64,Kalimantan Timur,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
65,Kalimantan Utara,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
19,Kepulauan Bangka Belitung,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
21,Kepulauan Riau,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
18,Lampung,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
81,Maluku,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
82,Maluku Utara,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
52,Nusa Tenggara Barat,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
53,Nusa Tenggara Timur,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
91,Papua,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
92,Papua Barat,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
96,Papua Barat Daya,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
95,Papua Pegunungan,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
93,Papua Selatan,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
94,Papua Tengah,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
14,Riau,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
76,Sulawesi Barat,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
73,Sulawesi Selatan,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
72,Sulawesi Tengah,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
74,Sulawesi Tenggara,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
71,Sulawesi Utara,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
13,Sumatera Barat,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
16,Sumatera Selatan,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
12,Sumatera Utara,2025-11-28 06:33:37.205025,2025-11-28 06:33:37.205025
